CUSTOMERKEY,GEOGRAPHYKEY,CUSTOMERALTERNATEKEY,TITLE,FIRSTNAME,MIDDLENAME,LASTNAME,NAMESTYLE,BIRTHDATE,MARITALSTATUS,SUFFIX,GENDER,EMAILADDRESS,YEARLYINCOME,TOTALCHILDREN,NUMBERCHILDRENATHOME,ENGLISHEDUCATION,SPANISHEDUCATION,FRENCHEDUCATION,ENGLISHOCCUPATION,SPANISHOCCUPATION,FRENCHOCCUPATION,HOUSEOWNERFLAG,NUMBERCARSOWNED,ADDRESSLINE1,ADDRESSLINE2,PHONE,DATEFIRSTPURCHASE,COMMUTEDISTANCE,NUMBEROFPURCHASES
11106,40,AW00011106,,Jessie,,Liu,FALSE,1970-03-11,S,,M,jessie9@adventure-works.com,70000,0,0,Bachelors,Licenciatura,Bac + 4,Professional,Profesional,Cadre,0,1,3063 Blue Jay Drive,,1 (11) 500 555-0163,2011-05-18,5-10 Miles,3
11107,17,AW00011107,,Bianca,,Lin,FALSE,1976-03-04,M,,F,bianca7@adventure-works.com,90000,1,0,Bachelors,Licenciatura,Bac + 4,Professional,Profesional,Cadre,1,1,7530 Eola,,1 (11) 500 555-0121,2011-05-01,5-10 Miles,3
11108,13,AW00011108,,Kari,C,Alvarez,FALSE,1969-01-10,S,,F,kari25@adventure-works.com,70000,0,0,Bachelors,Licenciatura,Bac + 4,Professional,Profesional,Cadre,0,2,9178 Thornhill Place,,1 (11) 500 555-0169,2011-05-03,0-1 Miles,3
11109,38,AW00011109,,Ruben,D,Kapoor,FALSE,1980-04-30,S,,M,ruben1@adventure-works.com,70000,0,0,Bachelors,Licenciatura,Bac + 4,Professional,Profesional,Cadre,0,2,1984 Glendale Circle,,1 (11) 500 555-0132,2011-05-10,0-1 Miles,3
11110,3,AW00011110,,Curtis,,Yang,FALSE,1967-12-04,M,,M,curtis5@adventure-works.com,60000,1,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,1,4052 Mt. Wilson Way,,1 (11) 500 555-0127,2011-05-01,5-10 Miles,3
11111,34,AW00011111,,Meredith,T,Gutierrez,FALSE,1967-08-23,M,,F,meredith34@adventure-works.com,60000,1,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,1,7610 Northridge Ct.,,1 (11) 500 555-0179,2011-05-20,0-1 Miles,3
11112,25,AW00011112,,Crystal,C,Wang,FALSE,1968-03-08,M,,F,crystal3@adventure-works.com,60000,1,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,1,2773 Kirkwood Dr,,1 (11) 500 555-0134,2011-05-25,0-1 Miles,3
11113,30,AW00011113,,Micheal,A,Blanco,FALSE,1973-02-17,M,,M,micheal11@adventure-works.com,70000,5,4,Bachelors,Licenciatura,Bac + 4,Professional,Profesional,Cadre,1,2,596 Marfargoa Drive,,1 (11) 500 555-0131,2013-02-01,5-10 Miles,3
11114,14,AW00011114,,Leslie,C,Moreno,FALSE,1967-11-25,S,,F,leslie7@adventure-works.com,70000,5,4,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,2,7941 Cristobal,,1 (11) 500 555-0115,2013-03-18,5-10 Miles,3
11115,17,AW00011115,,Alvin,D,Cai,FALSE,1967-08-12,M,,M,alvin20@adventure-works.com,70000,5,4,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,2,7759 Azalea Avenue,,1 (11) 500 555-0191,2013-02-10,0-1 Miles,3
11116,18,AW00011116,,Clinton,E,Carlson,FALSE,1979-04-02,M,,M,clinton14@adventure-works.com,70000,5,4,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,2,7943 Cunha Ct.,,1 (11) 500 555-0184,2013-03-15,5-10 Miles,3
11117,8,AW00011117,,April,,Deng,FALSE,1966-08-21,M,,F,april1@adventure-works.com,70000,5,4,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,3,485 Ash Lane,,1 (11) 500 555-0182,2011-05-06,10+ Miles,3
11118,6,AW00011118,,Alvin,M,Zeng,FALSE,1962-12-31,S,,M,alvin21@adventure-works.com,80000,1,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,0,1,3853 Wildcat Circle,Unit 13c12,1 (11) 500 555-0174,2013-07-10,0-1 Miles,3
11119,13,AW00011119,,Evan,V,James,FALSE,1940-10-07,S,,M,evan8@adventure-works.com,30000,2,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Clerical,Administrativo,Employé,0,2,4157 Sierra Ridge,,1 (11) 500 555-0187,2013-02-03,0-1 Miles,2
11120,18,AW00011120,,Beth,H,Jiménez,FALSE,1942-02-06,S,,F,beth8@adventure-works.com,40000,2,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,1,7401 Las Palmas,,1 (11) 500 555-0164,2011-05-14,5-10 Miles,3
11121,10,AW00011121,,Orlando,,Suarez,FALSE,1966-05-18,M,,M,orlando19@adventure-works.com,70000,5,4,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,3,7743 Hames Dr,,1 (11) 500 555-0198,2013-06-24,10+ Miles,3
11122,12,AW00011122,,Byron,,Vazquez,FALSE,1965-09-30,M,,M,byron9@adventure-works.com,70000,5,4,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,3,3187 Hackamore Lane,,1 (11) 500 555-0136,2013-02-21,5-10 Miles,3
11123,39,AW00011123,,Philip,A,Alvarez,FALSE,1965-12-18,M,,M,philip4@adventure-works.com,70000,5,4,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,3,2775 Mt. Olivet Pl.,,1 (11) 500 555-0191,2013-04-17,10+ Miles,3
11124,40,AW00011124,,Ross,F,Jordan,FALSE,1968-07-23,S,,M,ross1@adventure-works.com,80000,1,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,1,6973 Dublin Court,,1 (11) 500 555-0126,2011-05-05,5-10 Miles,3
11125,37,AW00011125,,Dana,J,Navarro,FALSE,1961-10-06,S,,F,dana2@adventure-works.com,70000,1,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,1,8481 Zartop Street,,1 (11) 500 555-0172,2013-01-31,5-10 Miles,3
11126,11,AW00011126,,Shaun,,Carson,FALSE,1954-10-05,M,,M,shaun16@adventure-works.com,10000,2,1,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,0,2,57 Wolf Way,,1 (11) 500 555-0155,2011-05-28,0-1 Miles,3
11127,361,AW00011127,,Jan,,Edwards,FALSE,1981-04-19,M,,F,jan11@adventure-works.com,40000,0,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,1,1,9409 The Alameda,,111-555-0118,2013-04-10,5-10 Miles,2
11128,635,AW00011128,,Samantha,,Long,FALSE,1981-06-03,M,,F,samantha35@adventure-works.com,40000,0,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,1,1,1606 Alderwood Lane,,175-555-0139,2013-06-19,5-10 Miles,2
11129,638,AW00011129,,Julia,M,Wright,FALSE,1981-02-01,S,,F,julia17@adventure-works.com,40000,0,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,1,1,7397 Central Blvd.,,456-555-0174,2011-08-06,5-10 Miles,2
11131,50,AW00011131,,Amanda,,Rivera,FALSE,1985-09-09,M,,F,amanda7@adventure-works.com,30000,0,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,0,2,9573 Royal Oak Rd.,,918-555-0126,2013-10-18,0-1 Miles,5
11134,30,AW00011134,,Larry,D,Townsend,FALSE,1957-02-22,S,,M,larry14@adventure-works.com,10000,5,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,1,2,7034 Carson,,1 (11) 500 555-0130,2011-05-03,5-10 Miles,3
11137,641,AW00011137,,Jasmine,A,Taylor,FALSE,1984-01-17,M,,F,jasmine7@adventure-works.com,40000,0,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,1,2,2457 Matterhorn Court,,557-555-0146,2013-07-31,5-10 Miles,2
11138,325,AW00011138,,Lauren,,Davis,FALSE,1984-03-14,M,,F,lauren23@adventure-works.com,40000,0,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,0,2,8105 Pembrook Court,,832-555-0121,2013-09-19,0-1 Miles,2
11139,28,AW00011139,,Tanya,,Moreno,FALSE,1949-11-05,S,,F,tanya2@adventure-works.com,30000,2,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Clerical,Administrativo,Employé,0,2,6155 Wilbur Drive,,1 (11) 500 555-0185,2013-09-14,5-10 Miles,2
11141,314,AW00011141,,Nicole,,Ramirez,FALSE,1982-12-19,M,,F,nicole42@adventure-works.com,40000,0,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,0,2,1101 C Street,,152-555-0162,2013-05-16,0-1 Miles,2
11142,51,AW00011142,,Eduardo,,Patterson,FALSE,1983-02-11,S,,M,eduardo55@adventure-works.com,40000,0,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,0,2,6255 Macalvey Dr.,,190-555-0184,2013-02-13,0-1 Miles,17
11143,334,AW00011143,,Jonathan,M,Henderson,FALSE,1982-08-04,M,,M,jonathan4@adventure-works.com,40000,0,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,1,2,165 East Lane Road,,149-555-0113,2013-06-15,5-10 Miles,2
11146,8,AW00011146,,Karla,L,Goel,FALSE,1945-02-22,S,,F,karla20@adventure-works.com,40000,2,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,2,3272 Corrie Lane,,1 (11) 500 555-0137,2013-02-05,5-10 Miles,3
11147,40,AW00011147,,Ernest,L,Wu,FALSE,1944-08-04,M,,M,ernest6@adventure-works.com,60000,2,0,Graduate Degree,Estudios de postgrado,Bac + 3,Management,Gestión,Direction,1,1,1832 RiverRock Dr,,1 (11) 500 555-0139,2011-05-13,0-1 Miles,3
11148,22,AW00011148,,Ross,,Vazquez,FALSE,1947-02-13,M,,M,ross32@adventure-works.com,40000,2,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,2,1201 Paso Del Rio Way,,1 (11) 500 555-0163,2013-03-07,5-10 Miles,3
11149,25,AW00011149,,Theodore,,Gill,FALSE,1946-10-18,M,,M,theodore14@adventure-works.com,40000,2,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,2,9120 Pinewood Court,,1 (11) 500 555-0194,2013-06-04,0-1 Miles,3
11150,39,AW00011150,,Russell,M,Shen,FALSE,1946-09-12,S,,M,russell6@adventure-works.com,40000,2,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,2,4755 Easley Drive,,1 (11) 500 555-0191,2013-03-27,5-10 Miles,3
11151,18,AW00011151,,Melinda,G,Gill,FALSE,1947-08-25,S,,F,melinda9@adventure-works.com,60000,2,0,Graduate Degree,Estudios de postgrado,Bac + 3,Management,Gestión,Direction,0,1,805 Rainier Dr.,,1 (11) 500 555-0117,2011-05-15,0-1 Miles,3
11153,635,AW00011153,,Angela,R,James,FALSE,1981-12-21,M,,F,angela34@adventure-works.com,40000,0,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,1,2,8877 Weatherly Drive,,847-555-0111,2013-03-29,5-10 Miles,2
11157,642,AW00011157,,Hannah,E,Long,FALSE,1980-12-08,M,,F,hannah32@adventure-works.com,40000,0,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,1,2,1832 Preston Ct.,,974-555-0177,2013-07-24,5-10 Miles,2
11159,385,AW00011159,,Brianna,A,Hughes,FALSE,1981-03-16,S,,F,brianna57@adventure-works.com,40000,0,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,0,2,6793 Bonifacio St.,,319-555-0183,2013-09-08,1-2 Miles,2
11161,311,AW00011161,,Emily,,Wood,FALSE,1979-10-20,S,,F,emily27@adventure-works.com,40000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,0,1,1562 Black Walnut,,184-555-0114,2013-06-01,1-2 Miles,2
11163,372,AW00011163,,Gabriel,,Wang,FALSE,1980-06-18,M,,M,gabriel21@adventure-works.com,40000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,1,8002 Crane Court,,617-555-0150,2013-05-01,5-10 Miles,2
11164,374,AW00011164,,Devin,,Brooks,FALSE,1979-11-02,S,,M,devin63@adventure-works.com,40000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,0,1,4231 Highland Dr.,,502-555-0138,2013-04-27,1-2 Miles,2
11165,348,AW00011165,,Jocelyn,,Alexander,FALSE,1979-01-15,M,,F,jocelyn18@adventure-works.com,60000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,0,1,3376 Bank Way,,354-555-0134,2013-05-25,1-2 Miles,2
11166,631,AW00011166,,Ashley,,Martinez,FALSE,1977-10-22,S,,F,ashley18@adventure-works.com,70000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,0,2,6993 Whyte Park Ave.,,131-555-0194,2013-10-14,0-1 Miles,2
11167,618,AW00011167,,Jasmine,J,Barnes,FALSE,1978-01-29,S,,F,jasmine43@adventure-works.com,80000,0,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,0,1,9183 Via Del Sol,,178-555-0156,2013-01-07,0-1 Miles,2
11168,348,AW00011168,,David,,Rodriguez,FALSE,1973-11-12,S,,M,david83@adventure-works.com,80000,0,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,0,1,38 Shangri-la Rd.,,730-555-0128,2013-01-15,0-1 Miles,2
11169,312,AW00011169,,Bryce,,Richardson,FALSE,1973-12-20,M,,M,bryce8@adventure-works.com,90000,4,4,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,1,1841 Blackwood Drive,,178-555-0176,2013-05-26,0-1 Miles,2
11170,612,AW00011170,,Carol,T,Howard,FALSE,1973-08-04,M,,F,carol5@adventure-works.com,90000,4,4,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,1,6281 Edward Ave,,845-555-0127,2013-08-26,0-1 Miles,2
11171,385,AW00011171,,Jonathan,E,Hill,FALSE,1978-10-05,S,,M,jonathan43@adventure-works.com,100000,1,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,2,3731 Chinquapin Ct,,134-555-0196,2011-08-20,1-2 Miles,3
11172,626,AW00011172,,Gabrielle,J,Adams,FALSE,1973-05-20,M,,F,gabrielle58@adventure-works.com,100000,1,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,2,5621 Arcadia Pl.,,403-555-0152,2013-05-03,1-2 Miles,2
11173,552,AW00011173,,Sarah,F,Thomas,FALSE,1973-02-28,S,,F,sarah13@adventure-works.com,110000,0,0,Graduate Degree,Estudios de postgrado,Bac + 3,Management,Gestión,Direction,0,4,5636 Mt. Whitney Dr.,,868-555-0188,2013-03-02,0-1 Miles,2
11174,338,AW00011174,,Nicholas,,Robinson,FALSE,1973-01-09,M,,M,nicholas19@adventure-works.com,110000,0,1,Graduate Degree,Estudios de postgrado,Bac + 3,Management,Gestión,Direction,1,0,1318 Lasalle Street,,949-555-0138,2013-07-13,2-5 Miles,2
11175,300,AW00011175,,Luis,,Wang,FALSE,1968-09-01,S,,M,luis24@adventure-works.com,70000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,2,6943 Patterson Blvd.,,418-555-0127,2011-08-28,5-10 Miles,3
11176,50,AW00011176,,Mason,D,Roberts,FALSE,1979-01-21,M,,M,mason25@adventure-works.com,90000,4,4,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,1,5753 Megan Dr.,,539-555-0162,2013-02-02,1-2 Miles,28
11177,359,AW00011177,,Jose,M,Flores,FALSE,1948-01-01,M,,M,jose6@adventure-works.com,110000,2,4,Graduate Degree,Estudios de postgrado,Bac + 3,Management,Gestión,Direction,1,2,3991 Rambling Rose Drive,,157-555-0182,2013-03-29,5-10 Miles,2
11178,334,AW00011178,,Nathan,J,Johnson,FALSE,1954-08-20,M,,M,nathan55@adventure-works.com,100000,2,3,Graduate Degree,Estudios de postgrado,Bac + 3,Management,Gestión,Direction,1,3,8927 Daylight Place,,117-555-0182,2013-02-21,1-2 Miles,2
11179,300,AW00011179,,Molly,E,Rodriguez,FALSE,1959-12-08,M,,F,molly18@adventure-works.com,120000,2,4,Graduate Degree,Estudios de postgrado,Bac + 3,Management,Gestión,Direction,1,3,5556 Riverland Dr.,,135-555-0185,2013-03-12,5-10 Miles,2
11180,307,AW00011180,,April,,Anand,FALSE,1948-07-01,M,,F,april18@adventure-works.com,160000,1,3,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,4,3531 Brookview Drive,,702-555-0144,2013-03-17,0-1 Miles,2
11181,338,AW00011181,,Devin,P,Martin,FALSE,1960-02-01,M,,M,devin13@adventure-works.com,170000,2,3,Graduate Degree,Estudios de postgrado,Bac + 3,Management,Gestión,Direction,1,2,1085 Greenbelt Way,Unit B-105,735-555-0197,2013-05-07,0-1 Miles,2
11182,638,AW00011182,,Stephanie,,Torres,FALSE,1950-02-22,S,,F,stephanie19@adventure-works.com,70000,4,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,2,6968 Mildred Ln.,,567-555-0176,2013-08-28,10+ Miles,2
11183,368,AW00011183,,Jasmine,W,Lee,FALSE,1950-01-12,S,,F,jasmine19@adventure-works.com,70000,4,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,2,7502 Contuti Avenue,,147-555-0199,2013-04-30,10+ Miles,2
11184,311,AW00011184,,Meghan,,Hernandez,FALSE,1955-11-13,S,,F,meghan3@adventure-works.com,70000,4,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,2,5872 L St.,,967-555-0188,2013-08-10,10+ Miles,2
11185,53,AW00011185,,Ashley,,Henderson,FALSE,1950-04-07,S,,F,ashley31@adventure-works.com,70000,4,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,2,8834 San Jose Ave.,,173-555-0121,2013-02-21,10+ Miles,27
11186,352,AW00011186,,Sarah,C,Price,FALSE,1949-11-18,S,,F,sarah25@adventure-works.com,70000,4,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,2,4815 Paraiso Ct.,,180-555-0133,2013-10-18,10+ Miles,2
11187,612,AW00011187,,Jennifer,S,Cooper,FALSE,1949-08-21,M,,F,jennifer63@adventure-works.com,60000,4,0,Graduate Degree,Estudios de postgrado,Bac + 3,Management,Gestión,Direction,1,2,2429 Longview Road,,857-555-0111,2013-04-03,10+ Miles,2
11188,361,AW00011188,,Catherine,,Morris,FALSE,1950-03-06,M,,F,catherine16@adventure-works.com,60000,4,0,Graduate Degree,Estudios de postgrado,Bac + 3,Management,Gestión,Direction,0,2,6542 Stonewood Drive,,795-555-0117,2013-11-01,1-2 Miles,2
11189,609,AW00011189,,Lawrence,W,Blanco,FALSE,1950-01-12,S,,M,lawrence14@adventure-works.com,60000,4,0,Graduate Degree,Estudios de postgrado,Bac + 3,Management,Gestión,Direction,1,2,7502 Contuti Avenue,,656-555-0171,2011-08-26,10+ Miles,2
11190,300,AW00011190,,Carson,,Bryant,FALSE,1949-12-20,M,,M,carson17@adventure-works.com,70000,5,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,2,2995 Youngsdale Dr.,,240-555-0142,2013-08-28,10+ Miles,2
11191,310,AW00011191,,Kristi,E,Perez,FALSE,1951-06-17,S,,F,kristi39@adventure-works.com,70000,5,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,3,1769 Lislin Ct,,123-555-0181,2011-08-11,10+ Miles,3
11192,637,AW00011192,,James,C,Brown,FALSE,1951-03-13,M,,M,james79@adventure-works.com,60000,4,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,2,673 Old Mountain View Dr.,,725-555-0117,2013-06-23,2-5 Miles,2
11193,553,AW00011193,,Ian,A,Gray,FALSE,1950-08-13,M,,M,ian72@adventure-works.com,60000,4,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,2,5941 Gill Dr.,,596-555-0190,2013-02-25,2-5 Miles,2
11194,352,AW00011194,,Jacqueline,R,Price,FALSE,1950-12-08,M,,F,jacqueline0@adventure-works.com,60000,4,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,2,872 Mark Twain Dr,,266-555-0112,2013-03-13,2-5 Miles,2
11195,635,AW00011195,,Megan,,Henderson,FALSE,1951-08-10,M,,F,megan55@adventure-works.com,60000,5,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,3,8411 Mt. Olivet Place,,560-555-0150,2013-04-14,10+ Miles,2
11196,536,AW00011196,,Alfredo,,Romero,FALSE,1951-12-05,M,,M,alfredo10@adventure-works.com,60000,5,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,3,2499 Greendell Pl,,342-555-0110,2013-03-03,10+ Miles,2
11197,637,AW00011197,,Andrea,,Morris,FALSE,1951-12-16,M,,F,andrea18@adventure-works.com,70000,3,1,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,0,1,1883 Green View Court,,715-555-0178,2013-05-02,1-2 Miles,2
11198,368,AW00011198,,Brooke,,Sanders,FALSE,1952-05-25,S,,F,brooke3@adventure-works.com,70000,4,1,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,1,5192 Dumbarton Drive,,215-555-0156,2013-02-05,10+ Miles,2
11199,302,AW00011199,,Jacqueline,,Bennett,FALSE,1957-11-02,M,,F,jacqueline1@adventure-works.com,70000,4,1,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,1,8948 Chinquapin Court,,413-555-0174,2013-03-18,10+ Miles,2
11200,69,AW00011200,,Jason,L,Griffin,FALSE,1953-05-21,M,,M,jason18@adventure-works.com,70000,4,1,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,1,7239 Nicholas Drive,,232-555-0160,2013-02-07,1-2 Miles,27
11201,369,AW00011201,,Amanda,,Foster,FALSE,1953-02-14,M,,F,amanda37@adventure-works.com,70000,4,1,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,1,3984 San Francisco,,505-555-0159,2013-07-01,10+ Miles,2
11202,334,AW00011202,,Alexia,L,Price,FALSE,1958-08-22,M,,F,alexia0@adventure-works.com,80000,5,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,0,2,2079 Wellington Ct,,552-555-0118,2013-09-15,1-2 Miles,2
11203,60,AW00011203,,Luis,D,Diaz,FALSE,1959-08-18,M,,M,luis21@adventure-works.com,40000,2,1,High School,Educación secundaria,Bac + 2,Professional,Profesional,Cadre,1,2,3682 Diablo View Road,,171-555-0126,2013-02-20,10+ Miles,17
11204,536,AW00011204,,Destiny,C,Rivera,FALSE,1953-11-29,M,,F,destiny33@adventure-works.com,40000,2,1,High School,Educación secundaria,Bac + 2,Professional,Profesional,Cadre,1,2,6965 Appalachian Drive,,743-555-0111,2013-08-09,2-5 Miles,2
11205,612,AW00011205,,Abby,,Fernandez,FALSE,1954-01-21,M,,F,abby13@adventure-works.com,40000,2,1,High School,Educación secundaria,Bac + 2,Professional,Profesional,Cadre,1,2,8330 Glenside Court,,134-555-0119,2013-07-27,10+ Miles,2
11206,626,AW00011206,,Blake,,Flores,FALSE,1954-03-24,M,,M,blake60@adventure-works.com,60000,2,1,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,1,1,9410 Ferry St.,,975-555-0163,2013-05-11,10+ Miles,2
11207,635,AW00011207,,Danielle,,Cox,FALSE,1954-01-16,S,,F,danielle12@adventure-works.com,60000,2,1,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,1,1,2346 Wren Ave,,396-555-0158,2013-01-31,10+ Miles,2
11208,325,AW00011208,,Maria,,Reed,FALSE,1953-08-03,M,,F,maria4@adventure-works.com,60000,2,1,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,0,1413 Bridgeview St,,156-555-0163,2013-03-04,10+ Miles,2
11209,336,AW00011209,,Allison,,Evans,FALSE,1953-07-12,M,,F,allison21@adventure-works.com,60000,2,1,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,0,3515 Sutton Circle,,988-555-0151,2013-03-25,10+ Miles,2
11210,383,AW00011210,,Edward,J,Wood,FALSE,1953-12-06,M,,M,edward50@adventure-works.com,70000,4,1,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,1,2,1039 Adelaide St.,,229-555-0114,2013-05-06,10+ Miles,2
11211,50,AW00011211,,Samantha,,Russell,FALSE,1960-10-08,M,,F,samantha42@adventure-works.com,40000,2,1,High School,Educación secundaria,Bac + 2,Professional,Profesional,Cadre,1,2,9256 Village Oaks Dr.,,547-555-0121,2013-02-01,2-5 Miles,17
11212,53,AW00011212,,Chloe,,Campbell,FALSE,1955-05-05,M,,F,chloe4@adventure-works.com,40000,2,1,High School,Educación secundaria,Bac + 2,Professional,Profesional,Cadre,1,2,3562 East Ave.,# 4,205-555-0169,2013-01-30,2-5 Miles,17
11213,614,AW00011213,,Stephanie,B,Murphy,FALSE,1954-11-11,S,,F,stephanie11@adventure-works.com,60000,2,1,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,1,2,5514 Grant Street,,293-555-0151,2013-03-28,10+ Miles,2
11214,545,AW00011214,,Charles,O,Miller,FALSE,1955-05-07,S,,M,charles9@adventure-works.com,60000,2,1,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,1,2,2719 Little Dr,,389-555-0115,2013-08-14,10+ Miles,2
11215,62,AW00011215,,Ana,,Perry,FALSE,1961-06-17,M,,F,ana7@adventure-works.com,40000,2,1,Partial High School,Educación secundaria (en curso),Niveau bac,Skilled Manual,Obrero especializado,Technicien,1,2,3114 Arlington Way,,446-555-0134,2013-02-15,10+ Miles,17
11216,547,AW00011216,,Jasmine,A,Torres,FALSE,1955-11-17,S,,F,jasmine32@adventure-works.com,60000,2,1,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,1,2,8328 San Francisco,,939-555-0130,2011-08-15,10+ Miles,2
11217,547,AW00011217,,Natalie,P,Adams,FALSE,1955-08-11,S,,F,natalie58@adventure-works.com,60000,2,1,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,1,2,6592 Bent Tree Lane,,300-555-0150,2011-08-10,10+ Miles,2
11218,642,AW00011218,,Olivia,,Brown,FALSE,1961-09-07,S,,F,olivia4@adventure-works.com,60000,2,1,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,0,2,3964 Stony Hill Circle,,414-555-0147,2013-02-28,2-5 Miles,2
